Entity,Attribute,DataType,Pseudonymization,Description
engagement_events,device_type,VARCHAR,no-op,Device used (desktop/tablet/mobile/unknown)
engagement_events,duration_seconds,INT,no-op,Duration of engagement in seconds
engagement_events,event_id,VARCHAR,no-op,Unique event identifier
engagement_events,event_timestamp,TIMESTAMP,no-op,Date and time of the event
engagement_events,event_type,VARCHAR,no-op,Type of engagement event (page_view/assignment_submit/quiz_attempt/discussion_post/resource_download/video_watch)
engagement_events,interaction_depth,VARCHAR,no-op,Level of interaction (view/interact/submit/complete)
engagement_events,ip_address_hash,VARCHAR,hash,Hashed IP address for location inference
engagement_events,lms_session_id,VARCHAR,no-op,LMS session identifier
engagement_events,platform,VARCHAR,no-op,Platform used (mobile_app/web/api)
engagement_events,resource_id,VARCHAR,no-op,Identifier of the resource accessed
engagement_events,resource_name,VARCHAR,no-op,Human-readable name of the resource
engagement_events,resource_type,VARCHAR,no-op,Type of resource (document/video/assignment/quiz/discussion)
engagement_events,school_id,VARCHAR,no-op,School identifier
engagement_events,student_id,VARCHAR,hash,Student identifier (hashed for privacy)
engagement_events,submission_quality_score,FLOAT,no-op,Quality score for submissions (0-100)
engagement_events,time_on_task,INT,no-op,Time spent on task in minutes
engagement_events,user_agent_hash,VARCHAR,hash,Hashed user agent for device tracking
enrollment,_loaded_date,TIMESTAMP,no-op,Date record was loaded into Stage 1
enrollment,_updated_date,TIMESTAMP,no-op,Date record was last updated
enrollment,absence_count,INT,no-op,Number of absences
enrollment,academic_risk_flag,BOOLEAN,no-op,Flag indicating academic risk (based on grades/attendance)
enrollment,attendance_days,INT,no-op,Total days attended
enrollment,completion_date,DATE,no-op,Date student completed course (NULL if ongoing)
enrollment,course_id,VARCHAR,no-op,Course identifier
enrollment,credits_attempted,FLOAT,no-op,Credits attempted in course
enrollment,credits_earned,FLOAT,no-op,Credits earned for course completion
enrollment,engagement_flag,BOOLEAN,no-op,Flag indicating low engagement (based on activities)
enrollment,enrollment_date,DATE,no-op,Date student enrolled in course
enrollment,enrollment_id,VARCHAR,no-op,Unique enrollment record identifier
enrollment,enrollment_status,VARCHAR,no-op,Enrollment status (active/completed/dropped/failed/transferred)
enrollment,excused_absence_count,INT,no-op,Number of excused absences
enrollment,final_grade_letter,VARCHAR,no-op,Final letter grade (A/B/C/D/F)
enrollment,final_grade_numeric,FLOAT,no-op,Final numeric grade (0-100 scale)
enrollment,school_id,VARCHAR,no-op,School identifier
enrollment,student_id,VARCHAR,hash,Student identifier (hashed for privacy)
enrollment,tardy_count,INT,no-op,Number of times tardy
enrollment,term,VARCHAR,no-op,Academic term (semester/trimester/year)
enrollment,unexcused_absence_count,INT,no-op,Number of unexcused absences
enrollment,weighted_gpa_impact,FLOAT,no-op,Impact on weighted GPA calculation
students,_loaded_date,TIMESTAMP,no-op,Date record was loaded into Stage 1
students,_updated_date,TIMESTAMP,no-op,Date record was last updatedEntity,Attribute,DataType,Pseudonymization,Description
students,address_city,VARCHAR,mask,City
students,address_line1,VARCHAR,mask,Street address line 1
students,address_state,VARCHAR,mask,State
students,address_zip,VARCHAR,mask,ZIP code
students,cohort_year,INT,no-op,Graduation cohort year
students,date_of_birth,DATE,hash,Student date of birth
students,district_id,VARCHAR,no-op,District identifier
students,economically_disadvantaged,BOOLEAN,no-op,Economically disadvantaged status
students,email_address,VARCHAR,mask,Student or guardian email address
students,english_learner,BOOLEAN,no-op,English learner flag
students,enrollment_status,VARCHAR,no-op,Current enrollment status (active/inactive/transferred)
students,ethnicity,VARCHAR,no-op,Student ethnicity (for demographics only)
students,first_name,VARCHAR,mask,Student first name
students,foster_care_status,BOOLEAN,no-op,In foster care indicator
students,gender,VARCHAR,no-op,Student gender (M/F/X/Other)
students,grade_level,INT,no-op,Current grade level (K-12 or 1-16)
students,homeless_status,BOOLEAN,no-op,Homeless student indicator
students,last_name,VARCHAR,mask,Student last name
students,middle_name,VARCHAR,mask,Student middle name
students,military_family,BOOLEAN,no-op,Military-connected family indicator
students,phone_number,VARCHAR,mask,Student or guardian contact phone
students,school_id,VARCHAR,no-op,School identifier
students,special_education,BOOLEAN,no-op,Enrolled in special education services
students,student_id,VARCHAR,hash,Unique student identifier from SIS
